Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_EMA(C,9)","Exit_EMA(C,9)","Entry_EMA(C,21)","Exit_EMA(C,21)","Entry_ATR(H,L,C,3)","Exit_ATR(H,L,C,3)"
-2,818,821,633.94,666.4061900838705,,,-64.9323801677408,-0.05121334839869762,2007-11-16,2007-11-21,5 days,,657.7917710679968,652.7685867868144,661.5580195819712,657.7049884162068,27.52296922194202,27.547176065760585
-4,819,822,629.59,670.3861900838705,,,-163.18476033548177,-0.0647980274208142,2007-11-19,2007-11-23,4 days,,651.4034168543975,657.5548694294515,658.3118359836102,659.4318076510971,24.43864614796134,24.284784043840386
-8,820,821,636.48,662.6061900838705,,,-209.00952067096387,-0.04104793565213427,2007-11-20,2007-11-21,1 days,,650.830733483518,652.7685867868144,657.4234872578274,657.7049884162068,27.37576409864089,27.547176065760585
-1,823,825,680.2,682.11,798.123920219202,,-1.9099999999999682,-0.0028079976477506374,2007-11-26,2007-11-28,2 days,,659.2438955435612,668.1392931478791,660.0289160464519,664.0781124350842,25.656522695893585,24.605121198174903
2,825,851,682.11,653.94,552.1460797807981,,-56.33999999999992,-0.04129832431719216,2007-11-28,2008-01-07,40 days,,668.1392931478791,678.0117325036058,664.0781124350842,683.9598706050847,24.605121198174903,21.023407136651752
4,839,851,674.16,653.94,547.8060797807981,,-80.87999999999965,-0.029992880028479774,2007-12-18,2008-01-07,20 days,,687.6202835341178,678.0117325036058,685.1319137891666,683.9598706050847,22.60364797591434,21.023407136651752
-1,852,913,653.0,477.03,754.3670356832588,,175.97000000000003,0.26947932618683,2008-01-08,2008-04-07,90 days,,668.7453860028846,460.15526368312106,679.2071550955316,457.86381270969036,23.668938091101182,17.746943954518738
-2,854,913,645.01,477.03,758.3170356832588,,335.96000000000004,0.26043007085161474,2008-01-10,2008-04-07,88 days,,661.8550470418461,460.15526368312106,674.1053347896955,457.86381270969036,23.067305818267215,17.746943954518738
-4,857,913,645.9,477.03,758.9370356832588,,675.48,0.2614491407338597,2008-01-15,2008-04-07,83 days,,652.7069840854252,460.15526368312106,666.4208751237381,457.86381270969036,20.105127649856968,17.746943954518738
2,913,920,477.03,444.4,365.97296431674124,,-65.25999999999999,-0.06840240655723961,2008-04-07,2008-04-16,9 days,,460.15526368312106,457.03221952235845,457.86381270969036,457.7646993156115,17.746943954518738,14.684265581242968
4,914,920,473.04,444.4,371.70296431674126,,-114.56000000000017,-0.06054456282766796,2008-04-08,2008-04-16,8 days,,461.68621094649683,457.03221952235845,458.768011554264,457.7646993156115,16.767962636345825,14.684265581242968
8,915,920,469.13,444.4,362.69296431674127,,-197.84000000000015,-0.05271459936478162,2008-04-09,2008-04-16,7 days,,462.18696875719746,457.03221952235845,459.26091959478543,457.7646993156115,15.998641757563876,14.684265581242968
-1,921,922,455.63,535.21,,,-79.58000000000004,-0.17465926299848578,2008-04-17,2008-04-18,1 days,,455.53377561788676,472.3090204943094,457.01699937782865,464.5072721616624,14.072843720828653,42.101895813885776
1,923,960,539.39,548.76,328.9005209305711,,9.370000000000005,0.017371475184931207,2008-04-21,2008-06-12,52 days,,485.4052163954475,560.5267101447229,471.169338328784,562.90690902124,32.16793054259054,14.628200433976327
-2,960,963,548.76,576.35,755.7094790694289,,-55.180000000000064,-0.05027698811866754,2008-06-12,2008-06-17,5 days,,560.5267101447229,565.6845555940981,562.90690902124,564.9674447943202,14.628200433976327,13.734651980437453
-4,961,963,561.49,576.35,763.4594790694289,,-59.440000000000055,-0.026465297690074552,2008-06-13,2008-06-17,4 days,,562.7233681157783,565.6845555940981,563.6890082011273,564.9674447943202,17.335466955984216,13.734651980437453
-8,962,963,566.5,576.35,782.0194790694288,,-78.80000000000018,-0.01738746690202997,2008-06-16,2008-06-17,1 days,,564.7406944926227,565.6845555940981,564.5181892737521,564.9674447943202,15.756977970656152,13.734651980437453
1,964,966,564.51,556.98,500.78674009781275,,-7.529999999999973,-0.013339001966306996,2008-06-18,2008-06-20,2 days,,565.0236444752785,560.5331324641783,564.7322225402911,562.6938202812323,12.589767986958327,13.70767466087039
